,date,time,open,high,low,close,volume
0,01/01/2021,00:00:00,28923.63000000,29017.50000000,28690.17000000,28836.63000000,1320.68874800
1,01/01/2021,00:30:00,28836.63000000,29031.34000000,28836.62000000,28995.13000000,991.12269700
2,01/01/2021,01:00:00,28995.13000000,29417.87000000,28960.35000000,29385.39000000,3449.11844400
3,01/01/2021,01:30:00,29387.07000000,29470.00000000,29311.75000000,29409.99000000,1953.95002700
4,01/01/2021,02:00:00,29410.00000000,29465.26000000,29201.78000000,29298.86000000,1244.62477600
5,01/01/2021,02:30:00,29298.87000000,29341.21000000,29120.03000000,29194.65000000,1139.60678400
6,01/01/2021,03:00:00,29195.25000000,29311.00000000,29150.02000000,29215.84000000,692.38814300
7,01/01/2021,03:30:00,29216.03000000,29367.00000000,29190.83000000,29278.40000000,768.95693400
8,01/01/2021,04:00:00,29278.41000000,29395.00000000,29278.40000000,29332.81000000,871.91533900
9,01/01/2021,04:30:00,29332.81000000,29373.60000000,29029.40000000,29220.31000000,1166.13146400
10,01/01/2021,05:00:00,29220.31000000,29235.28000000,29084.11000000,29161.28000000,873.50362900
11,01/01/2021,05:30:00,29161.28000000,29213.40000000,29113.80000000,29187.01000000,596.45263300
12,01/01/2021,06:00:00,29187.01000000,29270.00000000,29100.00000000,29100.00000000,663.32546700
13,01/01/2021,06:30:00,29100.00000000,29205.76000000,29077.32000000,29174.35000000,757.40082400
14,01/01/2021,07:00:00,29174.35000000,29191.98000000,28806.54000000,29018.83000000,1729.83982400
15,01/01/2021,07:30:00,29018.83000000,29100.96000000,29000.00000000,29092.83000000,650.34109400
16,01/01/2021,08:00:00,29092.84000000,29178.03000000,28872.24000000,29033.90000000,1170.22345000
17,01/01/2021,08:30:00,29033.93000000,29122.00000000,28931.32000000,29000.01000000,837.94228900
18,01/01/2021,09:00:00,29000.01000000,29236.03000000,28970.00000000,29181.07000000,1092.37616200
19,01/01/2021,09:30:00,29181.06000000,29307.73000000,29174.47000000,29202.21000000,929.67986000
20,01/01/2021,10:00:00,29202.21000000,29344.97000000,29152.88000000,29221.71000000,1114.27812600
21,01/01/2021,10:30:00,29221.70000000,29311.00000000,29200.01000000,29223.82000000,829.97771500
22,01/01/2021,11:00:00,29223.82000000,29375.96000000,29212.44000000,29366.35000000,1290.24742800
23,01/01/2021,11:30:00,29368.93000000,29402.57000000,29238.49000000,29313.49000000,1018.98028900
24,01/01/2021,12:00:00,29313.49000000,29448.00000000,29186.63000000,29443.65000000,1119.54677000
25,01/01/2021,12:30:00,29443.65000000,29600.00000000,29150.00000000,29233.49000000,3072.36839100
26,01/01/2021,13:00:00,29233.49000000,29420.00000000,29200.00000000,29389.36000000,1225.47501000
27,01/01/2021,13:30:00,29389.36000000,29470.00000000,29354.70000000,29464.79000000,985.82328000
28,01/01/2021,14:00:00,29464.79000000,29530.00000000,29356.05000000,29415.94000000,1497.12829500
29,01/01/2021,14:30:00,29415.95000000,29440.12000000,29266.15000000,29327.84000000,1115.54387500
30,01/01/2021,15:00:00,29327.83000000,29391.00000000,29223.00000000,29297.04000000,1251.69247900
31,01/01/2021,15:30:00,29297.03000000,29297.04000000,29030.14000000,29188.67000000,1527.37141500
32,01/01/2021,16:00:00,29188.67000000,29325.00000000,29125.00000000,29277.11000000,863.65672000
33,01/01/2021,16:30:00,29277.11000000,29360.00000000,29249.23000000,29300.57000000,626.67276400
34,01/01/2021,17:00:00,29300.79000000,29339.76000000,29230.00000000,29277.25000000,678.96773700
35,01/01/2021,17:30:00,29277.24000000,29277.24000000,28937.00000000,29079.64000000,1826.00936200
36,01/01/2021,18:00:00,29077.59000000,29259.98000000,28984.85000000,29021.88000000,1408.47239000
37,01/01/2021,18:30:00,29021.88000000,29103.18000000,28624.57000000,29072.70000000,2817.95765100
38,01/01/2021,19:00:00,29072.70000000,29125.31000000,28950.00000000,29055.08000000,999.78578100
39,01/01/2021,19:30:00,29055.08000000,29125.32000000,29002.10000000,29029.04000000,629.44294000
40,01/01/2021,20:00:00,29029.04000000,29245.17000000,28880.37000000,29212.62000000,1139.46515300
41,01/01/2021,20:30:00,29212.62000000,29279.72000000,29146.60000000,29200.96000000,699.08392900
42,01/01/2021,21:00:00,29200.97000000,29239.99000000,29164.70000000,29225.79000000,701.14670800
43,01/01/2021,21:30:00,29225.80000000,29289.82000000,29130.00000000,29160.39000000,746.08293300
44,01/01/2021,22:00:00,29163.17000000,29303.57000000,29104.57000000,29270.90000000,631.97636800
45,01/01/2021,22:30:00,29270.90000000,29326.74000000,29233.00000000,29262.32000000,495.05952900
46,01/01/2021,23:00:00,29262.32000000,29309.90000000,29228.14000000,29276.25000000,447.06195200
47,01/01/2021,23:30:00,29276.24000000,29338.89000000,29252.60000000,29331.69000000,524.06143300
48,02/01/2021,00:00:00,29331.70000000,29338.59000000,28946.53000000,29032.24000000,1720.72561900
49,02/01/2021,00:30:00,29032.24000000,29204.66000000,28977.49000000,29197.48000000,917.43376000
50,02/01/2021,01:00:00,29197.93000000,29234.99000000,29100.00000000,29208.45000000,737.49343600
51,02/01/2021,01:30:00,29208.45000000,29400.00000000,29201.41000000,29359.47000000,1154.50381300
52,02/01/2021,02:00:00,29359.46000000,29469.00000000,29323.66000000,29414.16000000,977.77300300
53,02/01/2021,02:30:00,29414.32000000,29425.58000000,29320.01000000,29323.82000000,727.05713400
54,02/01/2021,03:00:00,29323.82000000,29382.49000000,29280.00000000,29312.24000000,707.25320400
55,02/01/2021,03:30:00,29311.23000000,29361.58000000,29256.85000000,29351.95000000,450.78855700
56,02/01/2021,04:00:00,29351.95000000,29363.41000000,29220.00000000,29302.92000000,474.99194900
57,02/01/2021,04:30:00,29302.92000000,29396.00000000,29243.43000000,29349.63000000,513.71912100
58,02/01/2021,05:00:00,29349.63000000,29500.00000000,29349.63000000,29495.97000000,986.76319000
59,02/01/2021,05:30:00,29495.97000000,29590.00000000,29461.81000000,29589.99000000,1792.11504100
60,02/01/2021,06:00:00,29589.99000000,29663.10000000,29450.00000000,29659.47000000,1376.84589600
61,02/01/2021,06:30:00,29659.47000000,29745.00000000,29537.11000000,29709.07000000,1653.39492400
62,02/01/2021,07:00:00,29709.06000000,29770.65000000,29672.09000000,29716.43000000,1609.78247900
63,02/01/2021,07:30:00,29716.50000000,29820.50000000,29623.31000000,29750.00000000,1458.03024500
64,02/01/2021,08:00:00,29751.47000000,29849.11000000,29694.36000000,29722.54000000,1279.69750100
65,02/01/2021,08:30:00,29722.53000000,29849.00000000,29640.00000000,29844.51000000,1078.39074000
66,02/01/2021,09:00:00,29844.52000000,29862.00000000,29666.00000000,29700.30000000,1136.86160300
67,02/01/2021,09:30:00,29701.05000000,29899.00000000,29578.05000000,29612.87000000,2051.63577200
68,02/01/2021,10:00:00,29612.88000000,29829.00000000,29473.91000000,29779.98000000,1777.93444400
69,02/01/2021,10:30:00,29779.99000000,29799.94000000,29669.49000000,29680.99000000,537.24789300
70,02/01/2021,11:00:00,29679.51000000,29780.53000000,29622.79000000,29669.70000000,610.44269800
71,02/01/2021,11:30:00,29669.70000000,29771.39000000,29640.89000000,29755.00000000,754.59395700
72,02/01/2021,12:00:00,29754.99000000,30433.00000000,29741.39000000,30289.70000000,6822.08656900
73,02/01/2021,12:30:00,30290.82000000,30888.00000000,30176.35000000,30604.03000000,5950.47947500
74,02/01/2021,13:00:00,30604.03000000,30900.00000000,30521.00000000,30849.69000000,3102.39345000
75,02/01/2021,13:30:00,30849.70000000,31561.87000000,30750.00000000,31541.17000000,6080.03625300
76,02/01/2021,14:00:00,31546.06000000,31567.89000000,31065.00000000,31087.39000000,3989.21904700
77,02/01/2021,14:30:00,31091.19000000,31335.68000000,31086.83000000,31290.53000000,2458.56485000
78,02/01/2021,15:00:00,31290.53000000,31400.00000000,31236.37000000,31374.63000000,1546.57280100
79,02/01/2021,15:30:00,31374.63000000,31800.00000000,31340.00000000,31691.29000000,4079.62095400
80,02/01/2021,16:00:00,31691.09000000,32420.00000000,31616.42000000,32313.17000000,6369.44603600
81,02/01/2021,16:30:00,32315.39000000,33000.00000000,32030.00000000,32482.28000000,9062.83915000
82,02/01/2021,17:00:00,32484.28000000,32750.00000000,32394.77000000,32606.00000000,3287.81478800
83,02/01/2021,17:30:00,32605.99000000,32935.00000000,32500.00000000,32856.96000000,3114.36591300
84,02/01/2021,18:00:00,32856.95000000,32909.93000000,32421.00000000,32741.38000000,3071.26269300
85,02/01/2021,18:30:00,32741.39000000,33300.00000000,32616.48000000,32999.98000000,4099.03271900
86,02/01/2021,19:00:00,32999.98000000,33100.02000000,32690.00000000,33014.63000000,3323.83038400
87,02/01/2021,19:30:00,33014.62000000,33220.00000000,32980.18000000,33027.20000000,2521.02611500
88,02/01/2021,20:00:00,33027.20000000,33061.37000000,32100.00000000,32237.25000000,6843.07922200
89,02/01/2021,20:30:00,32234.24000000,32433.57000000,30550.00000000,30667.22000000,8890.20389000
90,02/01/2021,21:00:00,30669.43000000,32005.94000000,30300.00000000,31615.18000000,8180.41134000
91,02/01/2021,21:30:00,31615.18000000,31857.83000000,31376.87000000,31694.59000000,2214.70930200
92,02/01/2021,22:00:00,31693.53000000,32200.00000000,31424.96000000,32199.49000000,1917.88505700
93,02/01/2021,22:30:00,32199.49000000,32311.92000000,32050.02000000,32145.66000000,1961.17703700
94,02/01/2021,23:00:00,32143.53000000,32195.53000000,31500.00000000,31965.93000000,2806.94461100
95,02/01/2021,23:30:00,31962.56000000,32246.67000000,31773.82000000,32178.33000000,1815.39572700
96,03/01/2021,00:00:00,32176.45000000,32259.89000000,31962.99000000,32199.99000000,1458.57362800
97,03/01/2021,00:30:00,32199.99000000,32497.80000000,32199.98000000,32447.94000000,1887.48851300
98,03/01/2021,01:00:00,32447.95000000,32640.97000000,32201.00000000,32626.58000000,1623.76874200
99,03/01/2021,01:30:00,32626.59000000,32790.07000000,32503.90000000,32585.09000000,1777.38346500
100,03/01/2021,02:00:00,32583.04000000,32800.00000000,32550.00000000,32782.86000000,1013.07517600
101,03/01/2021,02:30:00,32782.86000000,32884.09000000,32701.00000000,32741.67000000,1004.13458300
102,03/01/2021,03:00:00,32741.68000000,32756.00000000,32587.00000000,32645.68000000,1002.33889700
103,03/01/2021,03:30:00,32645.68000000,32733.99000000,32404.00000000,32573.87000000,1123.53990300
104,03/01/2021,04:00:00,32576.11000000,32711.38000000,32450.00000000,32579.77000000,969.20650300
105,03/01/2021,04:30:00,32579.77000000,33250.00000000,32575.00000000,33192.53000000,2466.86448100
106,03/01/2021,05:00:00,33192.53000000,34083.68000000,33109.44000000,33984.27000000,6762.02932900
107,03/01/2021,05:30:00,33978.28000000,34180.00000000,33629.34000000,33758.67000000,3593.04098600
108,03/01/2021,06:00:00,33758.67000000,34110.05000000,33651.12000000,33855.54000000,2599.66942500
109,03/01/2021,06:30:00,33855.55000000,34080.00000000,33823.29000000,33967.13000000,1927.24154900
110,03/01/2021,07:00:00,33967.13000000,34566.66000000,33737.19000000,34487.56000000,3383.98587200
111,03/01/2021,07:30:00,34487.56000000,34778.11000000,34011.06000000,34452.34000000,4584.08815100
112,03/01/2021,08:00:00,34451.78000000,34561.08000000,33757.29000000,34403.68000000,3935.40760300
113,03/01/2021,08:30:00,34405.01000000,34670.41000000,34271.15000000,34367.68000000,2211.36650900
114,03/01/2021,09:00:00,34367.35000000,34588.88000000,33856.63000000,34026.68000000,3523.62928600
115,03/01/2021,09:30:00,34031.16000000,34247.91000000,33800.00000000,34190.55000000,2529.04968600
116,03/01/2021,10:00:00,34189.98000000,34350.00000000,33403.00000000,33739.36000000,4132.43155600
117,03/01/2021,10:30:00,33739.36000000,34119.01000000,33520.65000000,33877.96000000,2202.79508600
118,03/01/2021,11:00:00,33877.96000000,34200.00000000,33787.55000000,33933.33000000,1987.96368500
119,03/01/2021,11:30:00,33933.33000000,34450.00000000,33928.75000000,34413.53000000,2128.88945600
120,03/01/2021,12:00:00,34413.53000000,34600.00000000,34206.10000000,34291.85000000,2548.97827200
121,03/01/2021,12:30:00,34293.53000000,34354.53000000,33928.75000000,34103.72000000,1997.30520900
122,03/01/2021,13:00:00,34103.73000000,34385.02000000,34100.73000000,34162.14000000,1384.62937400
123,03/01/2021,13:30:00,34164.10000000,34193.66000000,33800.00000000,33880.00000000,2989.10900200
124,03/01/2021,14:00:00,33877.98000000,34150.00000000,33641.02000000,33926.99000000,2550.92273400
125,03/01/2021,14:30:00,33927.00000000,34078.53000000,33450.00000000,33811.54000000,3377.88282900
126,03/01/2021,15:00:00,33811.54000000,33873.45000000,32910.81000000,33015.19000000,4684.09590500
127,03/01/2021,15:30:00,33015.19000000,33645.00000000,32727.00000000,33506.62000000,3707.15385200
128,03/01/2021,16:00:00,33505.15000000,33822.69000000,33380.01000000,33422.59000000,3341.94242100
129,03/01/2021,16:30:00,33422.58000000,33532.15000000,32650.00000000,32676.74000000,4641.79670400
130,03/01/2021,17:00:00,32676.75000000,33190.00000000,32454.73000000,33080.11000000,5257.76391700
131,03/01/2021,17:30:00,33080.09000000,33333.33000000,32818.18000000,32909.27000000,2190.04524600
